 0.0% done, time left: unknown                               
 0.1% done, time left: unknown 
 0.1% done, time left:   0:07:44   
 0.1% done, time left:   0:08:38 
 0.1% done, time left:   0:10:17 
 0.1% done, time left:   0:12:11 
 0.1% done, time left:   0:14:14 
 0.1% done, time left:   0:16:20 
 0.2% done, time left:   0:16:32 
 0.2% done, time left:   0:16:34 
 0.2% done, time left:   0:16:15 
 0.2% done, time left:   0:15:52 
 0.2% done, time left:   0:15:31 
 0.3% done, time left:   0:15:05 
 0.3% done, time left:   0:14:37 
 0.4% done, time left:   0:14:07 
 0.5% done, time left:   0:13:39 
 0.5% done, time left:   0:13:13 
 0.5% done, time left:   0:12:50 
 0.6% done, time left:   0:12:27 
 0.7% done, time left:   0:12:05 
 0.7% done, time left:   0:11:44 
 0.8% done, time left:   0:11:24 
 0.9% done, time left:   0:11:05 
 1.0% done, time left:   0:10:48 
 1.0% done, time left:   0:10:32 
 1.1% done, time left:   0:10:17 
 1.1% done, time left:   0:10:03 
 1.2% done, time left:   0:09:49 
 1.3% done, time left:   0:09:36 
 1.4% done, time left:   0:09:24 
 1.4% done, time left:   0:09:13 
 1.5% done, time left:   0:09:02 
 1.6% done, time left:   0:08:52 
 1.6% done, time left:   0:08:42 
 1.7% done, time left:   0:08:33 
 1.8% done, time left:   0:08:24 
 1.9% done, time left:   0:08:16 
 1.9% done, time left:   0:08:08 
 2.0% done, time left:   0:08:00 
 2.1% done, time left:   0:07:53 
 2.1% done, time left:   0:07:46 
 2.2% done, time left:   0:07:39 
 2.2% done, time left:   0:07:33 
 2.3% done, time left:   0:07:27 
 2.4% done, time left:   0:07:21 
 2.4% done, time left:   0:07:15 
 2.4% done, time left:   0:07:10 
 2.5% done, time left:   0:07:05 
 2.5% done, time left:   0:07:00 
 2.5% done, time left:   0:06:56 
 2.6% done, time left:   0:06:51 
 2.6% done, time left:   0:06:47 
 2.6% done, time left:   0:06:43 
 2.7% done, time left:   0:06:39 
 2.7% done, time left:   0:06:36 
 2.8% done, time left:   0:06:32 
 2.8% done, time left:   0:06:29 
 2.8% done, time left:   0:06:25 
 2.9% done, time left:   0:06:22 
 3.0% done, time left:   0:06:19 
 3.0% done, time left:   0:06:16 
 3.0% done, time left:   0:06:13 
 3.1% done, time left:   0:06:11 
 3.2% done, time left:   0:06:08 
 3.3% done, time left:   0:06:06 
 3.3% done, time left:   0:06:03 
 3.3% done, time left:   0:06:01 
 3.4% done, time left:   0:05:58 
 3.4% done, time left:   0:05:56 
 3.5% done, time left:   0:05:54 
 3.5% done, time left:   0:05:51 
 3.5% done, time left:   0:05:49 
 3.5% done, time left:   0:05:47 
 3.5% done, time left:   0:05:45 
 3.6% done, time left:   0:05:43 
 3.6% done, time left:   0:05:42 
 3.7% done, time left:   0:05:40 
 3.7% done, time left:   0:05:38 
 3.8% done, time left:   0:05:36 
 3.8% done, time left:   0:05:35 
 3.9% done, time left:   0:05:33 
 3.9% done, time left:   0:05:32 
 4.0% done, time left:   0:05:30 
 4.1% done, time left:   0:05:29 
 4.1% done, time left:   0:05:28 
 4.2% done, time left:   0:05:27 
 4.3% done, time left:   0:05:25 
 4.3% done, time left:   0:05:24 
 4.4% done, time left:   0:05:23 
 4.4% done, time left:   0:05:22 
 4.6% done, time left:   0:05:22 
 4.6% done, time left:   0:05:21 
 4.7% done, time left:   0:05:20 
 4.8% done, time left:   0:05:19 
 4.9% done, time left:   0:05:17 
 5.0% done, time left:   0:05:17 
 5.0% done, time left:   0:05:14 
 5.1% done, time left:   0:05:13 
 5.1% done, time left:   0:05:12 
 5.2% done, time left:   0:05:12 
 5.3% done, time left:   0:05:11 
 5.4% done, time left:   0:05:12 
 5.5% done, time left:   0:05:12 
 5.5% done, time left:   0:05:11 
 5.7% done, time left:   0:05:12 
 5.8% done, time left:   0:05:12 
 5.9% done, time left:   0:05:11 
 6.0% done, time left:   0:05:12 
 6.1% done, time left:   0:05:12 
 6.2% done, time left:   0:05:12 
 6.3% done, time left:   0:05:13 
 6.4% done, time left:   0:05:12 
 6.6% done, time left:   0:05:13 
 6.7% done, time left:   0:05:12 
 6.7% done, time left:   0:05:10 
 6.8% done, time left:   0:05:10 
 6.9% done, time left:   0:05:11 
 7.0% done, time left:   0:05:11 
 7.1% done, time left:   0:05:12 
 7.2% done, time left:   0:05:12 
 7.3% done, time left:   0:05:12 
 7.4% done, time left:   0:05:11 
 7.5% done, time left:   0:05:12 
 7.6% done, time left:   0:05:12 
 7.8% done, time left:   0:05:14 
 8.2% done, time left:   0:05:18 
 8.2% done, time left:   0:05:16 
 8.6% done, time left:   0:05:17 
 9.0% done, time left:   0:05:18 
 9.2% done, time left:   0:05:16 
 9.3% done, time left:   0:05:11 
 9.3% done, time left:   0:05:07 
 9.3% done, time left:   0:05:02 
 9.3% done, time left:   0:04:58 
 9.4% done, time left:   0:04:55 
 9.7% done, time left:   0:04:54 
10.0% done, time left:   0:04:52 
10.4% done, time left:   0:04:51 
