 0.0% done, time left: unknown                               
 0.1% done, time left: unknown 
 0.1% done, time left:   0:04:25   
 0.2% done, time left:   0:04:15 
 0.2% done, time left:   0:04:07 
 0.3% done, time left:   0:03:59 
 0.3% done, time left:   0:03:55 
 0.4% done, time left:   0:03:50 
 0.4% done, time left:   0:03:47 
 0.5% done, time left:   0:03:44 
 0.6% done, time left:   0:03:40 
 0.7% done, time left:   0:03:36 
 0.8% done, time left:   0:03:31 
 0.8% done, time left:   0:03:27 
 0.9% done, time left:   0:03:23 
 1.0% done, time left:   0:03:19 
 1.2% done, time left:   0:03:15 
 1.3% done, time left:   0:03:11 
 1.5% done, time left:   0:03:06 
 1.7% done, time left:   0:03:02 
 1.8% done, time left:   0:02:58 
 2.0% done, time left:   0:02:55 
 2.2% done, time left:   0:02:51 
 2.3% done, time left:   0:02:48 
 2.5% done, time left:   0:02:44 
 2.6% done, time left:   0:02:41 
 2.8% done, time left:   0:02:39 
 2.9% done, time left:   0:02:36 
 3.0% done, time left:   0:02:34 
 3.0% done, time left:   0:02:31 
 3.0% done, time left:   0:02:29 
 3.0% done, time left:   0:02:28 
 3.0% done, time left:   0:02:26 
 3.0% done, time left:   0:02:25 
 3.0% done, time left:   0:02:24 
 3.0% done, time left:   0:02:23 
 3.0% done, time left:   0:02:22 
 3.0% done, time left:   0:02:21 
 3.0% done, time left:   0:02:20 
 3.0% done, time left:   0:02:21 
 3.0% done, time left:   0:02:22 
 3.0% done, time left:   0:02:23 
 3.0% done, time left:   0:02:24 
 3.0% done, time left:   0:02:25 
 3.0% done, time left:   0:02:26 
 3.0% done, time left:   0:02:27 
 3.0% done, time left:   0:02:28 
 3.7% done, time left:   0:02:35 
 3.8% done, time left:   0:02:34 
 4.6% done, time left:   0:02:37 
 5.4% done, time left:   0:02:36 
 6.2% done, time left:   0:02:33 
 6.7% done, time left:   0:02:29 
 7.5% done, time left:   0:02:25 
 8.1% done, time left:   0:02:20 
 8.9% done, time left:   0:02:15 
 9.8% done, time left:   0:02:09 
10.0% done, time left:   0:02:02 
10.7% done, time left:   0:01:56 
11.5% done, time left:   0:01:50 
12.2% done, time left:   0:01:44 
13.0% done, time left:   0:01:38 
13.2% done, time left:   0:01:31 
14.0% done, time left:   0:01:26 
14.7% done, time left:   0:01:21 
15.5% done, time left:   0:01:17 
16.2% done, time left:   0:01:12 
16.9% done, time left:   0:01:08 
17.5% done, time left:   0:01:03 
18.1% done, time left:   0:01:00 
18.2% done, time left:   0:00:55 
18.9% done, time left:   0:00:52 
19.7% done, time left:   0:00:49 
20.5% done, time left:   0:00:47 
21.3% done, time left:   0:00:44 
22.0% done, time left:   0:00:42 
22.9% done, time left:   0:00:39 
22.9% done, time left:   0:00:36 
23.7% done, time left:   0:00:34 
24.5% done, time left:   0:00:32 
25.2% done, time left:   0:00:30 
26.0% done, time left:   0:00:29 
26.8% done, time left:   0:00:27 
27.5% done, time left:   0:00:26 
28.3% done, time left:   0:00:25 
28.9% done, time left:   0:00:23 
29.5% done, time left:   0:00:22 
30.1% done, time left:   0:00:21 
30.7% done, time left:   0:00:20 
31.2% done, time left:   0:00:19 
31.6% done, time left:   0:00:18 
32.1% done, time left:   0:00:17 
32.7% done, time left:   0:00:17 
33.5% done, time left:   0:00:17 
34.2% done, time left:   0:00:17 
34.9% done, time left:   0:00:17 
35.6% done, time left:   0:00:16 
36.3% done, time left:   0:00:16 
37.1% done, time left:   0:00:15 
37.6% done, time left:   0:00:15 
38.2% done, time left:   0:00:14 
38.8% done, time left:   0:00:14 
39.5% done, time left:   0:00:14 
40.1% done, time left:   0:00:14 
40.7% done, time left:   0:00:13 
41.2% done, time left:   0:00:13 
41.3% done, time left:   0:00:11 
41.4% done, time left:   0:00:10 
41.5% done, time left:   0:00:10 
41.6% done, time left:   0:00:09 
41.8% done, time left:   0:00:08 
41.9% done, time left:   0:00:08 
41.9% done, time left:   0:00:07 
42.0% done, time left:   0:00:07 
42.2% done, time left:   0:00:06 
42.4% done, time left:   0:00:06 
42.5% done, time left:   0:00:05 
42.7% done, time left:   0:00:05 
42.8% done, time left:   0:00:05 
43.0% done, time left:   0:00:05 
43.2% done, time left:   0:00:05 
43.3% done, time left:   0:00:05 
43.5% done, time left:   0:00:05 
43.6% done, time left:   0:00:05 
43.8% done, time left:   0:00:05 
43.9% done, time left:   0:00:05 
44.0% done, time left:   0:00:05 
44.1% done, time left:   0:00:04 
44.2% done, time left:   0:00:04 
44.3% done, time left:   0:00:04 
44.5% done, time left:   0:00:05 
44.6% done, time left:   0:00:05 
44.6% done, time left:   0:00:04 
44.7% done, time left:   0:00:04 
44.8% done, time left:   0:00:04 
44.9% done, time left:   0:00:04 
45.0% done, time left:   0:00:04 
45.2% done, time left:   0:00:05 
45.4% done, time left:   0:00:05 
45.5% done, time left:   0:00:05 
45.7% done, time left:   0:00:05 
45.8% done, time left:   0:00:05 
46.0% done, time left:   0:00:06 
46.2% done, time left:   0:00:06 
46.4% done, time left:   0:00:06 
46.5% done, time left:   0:00:06 
46.6% done, time left:   0:00:06 
46.7% done, time left:   0:00:06 
46.9% done, time left:   0:00:06 
47.0% done, time left:   0:00:07 
47.2% done, time left:   0:00:07 
47.4% done, time left:   0:00:07 
47.6% done, time left:   0:00:08 
47.8% done, time left:   0:00:08 
47.9% done, time left:   0:00:08 
48.1% done, time left:   0:00:08 
48.3% done, time left:   0:00:09 
48.7% done, time left:   0:00:10 
49.3% done, time left:   0:00:11 
49.5% done, time left:   0:00:11 
49.7% done, time left:   0:00:11 
49.8% done, time left:   0:00:11 
50.0% done, time left:   0:00:10 
50.2% done, time left:   0:00:10 
50.4% done, time left:   0:00:10 
50.5% done, time left:   0:00:10 
50.7% done, time left:   0:00:10 
50.8% done, time left:   0:00:10 
51.0% done, time left:   0:00:10 
51.2% done, time left:   0:00:10 
51.4% done, time left:   0:00:10 
51.5% done, time left:   0:00:10 
51.5% done, time left:   0:00:09 
51.5% done, time left:   0:00:08 
51.5% done, time left:   0:00:07 
51.5% done, time left:   0:00:06 
51.7% done, time left:   0:00:06 
51.9% done, time left:   0:00:06 
52.0% done, time left:   0:00:07 
52.2% done, time left:   0:00:07 
52.4% done, time left:   0:00:07 
52.6% done, time left:   0:00:08 
52.7% done, time left:   0:00:08 
52.9% done, time left:   0:00:08 
53.0% done, time left:   0:00:08 
53.2% done, time left:   0:00:09 
53.4% done, time left:   0:00:09 
53.6% done, time left:   0:00:09 
53.7% done, time left:   0:00:10 
53.9% done, time left:   0:00:10 
54.1% done, time left:   0:00:10 
54.3% done, time left:   0:00:10 
54.5% done, time left:   0:00:11 
54.6% done, time left:   0:00:11 
54.8% done, time left:   0:00:11 
55.1% done, time left:   0:00:12 
55.9% done, time left:   0:00:13 
56.5% done, time left:   0:00:14 
56.6% done, time left:   0:00:13 
57.4% done, time left:   0:00:13 
58.3% done, time left:   0:00:13 
59.1% done, time left:   0:00:12 
59.9% done, time left:   0:00:11 
60.7% done, time left:   0:00:10 
61.5% done, time left:   0:00:09 
62.2% done, time left:   0:00:09 
63.0% done, time left:   0:00:08 
63.7% done, time left:   0:00:07 
64.5% done, time left:   0:00:06 
65.0% done, time left:   0:00:06 
65.8% done, time left:   0:00:05 
66.5% done, time left:   0:00:05 
67.2% done, time left:   0:00:04 
67.8% done, time left:   0:00:04 
68.4% done, time left:   0:00:04 
69.2% done, time left:   0:00:03 
70.1% done, time left:   0:00:03 
70.8% done, time left:   0:00:03 
71.7% done, time left:   0:00:03 
71.7% done, time left:   0:00:02 
72.2% done, time left:   0:00:02 
72.7% done, time left:   0:00:02 
73.5% done, time left:   0:00:02 
74.2% done, time left:   0:00:02 
74.8% done, time left:   0:00:01 
75.5% done, time left:   0:00:01 
76.2% done, time left:   0:00:01 
76.8% done, time left:   0:00:01 
77.6% done, time left:   0:00:01 
78.4% done, time left:   0:00:01 
79.0% done, time left:   0:00:01 
79.7% done, time left:   0:00:01 
80.3% done, time left:   0:00:01 
81.1% done, time left:   0:00:01 
81.8% done, time left:   0:00:01 
82.4% done, time left:   0:00:01 
83.2% done, time left:   0:00:01 
83.7% done, time left:   0:00:00 
83.8% done, time left:   0:00:00 
84.0% done, time left:   0:00:00 
84.1% done, time left:   0:00:00 
84.2% done, time left:   0:00:00 
84.4% done, time left:   0:00:00 
84.5% done, time left:   0:00:00 
84.6% done, time left:   0:00:00 
84.8% done, time left:   0:00:00 
85.0% done, time left:   0:00:00 
85.2% done, time left:   0:00:00 
85.5% done, time left:   0:00:00 
85.6% done, time left:   0:00:00 
85.8% done, time left:   0:00:00 
85.9% done, time left:   0:00:00 
86.1% done, time left:   0:00:00 
86.3% done, time left:   0:00:00 
86.4% done, time left:   0:00:00 
86.5% done, time left:   0:00:00 
86.6% done, time left:   0:00:00 
86.8% done, time left:   0:00:00 
86.9% done, time left:   0:00:00 
87.1% done, time left:   0:00:00 
87.2% done, time left:   0:00:00 
87.4% done, time left:   0:00:00 
87.5% done, time left:   0:00:00 
87.7% done, time left:   0:00:00 
87.9% done, time left:   0:00:00 
88.1% done, time left:   0:00:00 
88.2% done, time left:   0:00:00 
88.3% done, time left:   0:00:00 
88.4% done, time left:   0:00:00 
